word,abbrevs,source
a,a,curated
ab,ab,curated
active,active|act,curated
actual,actual|act,curated
ahu,ahu|ah,curated
air,air,curated
airflow,airflow|flow|cfm|air|airflw,curated
average,average|avg,curated
b,b,curated
bas,bas,curated
bc,bc,curated
booster,booster|bst|boost,curated
c,c,curated
ca,ca,curated
calibration,calibration|cal,curated
circulation,circ|circulation,curated
co,co,curated
co2,co2,curated
coil,coil|cl,curated
cool,cool|clg|cooling,curated
cooler,cooler|clr,curated
current,current|cur|curr|amp|amps,curated
daytime,day|daytime,curated
deck,deck|dk,curated
decoupler,decoupler|decoup,curated
dehumidification,dehum|dehumid|dehumidification,curated
delta,delta|dlt|diff,curated
differential,diff|differential|dp,curated
disable,disable|dis,curated
down,down|dn,curated
drain,drain|drn,curated
dry,dry,curated
emergency,emergency|emerg|e,curated
entering,entering|ent|enter|entr,curated
evaporator,evap|evaporator|evp|chw,curated
face,face,curated
feedback,feedback|fb|fbk|fdbk|position|pos,curated
fill,fill,curated
filter,filter|flt|fltr,curated
freeze,freeze|frz|frost,curated
gas,gas,curated
generator,gen|generator,curated
heat,heat|htg|heating,curated
heater,heater|htr,curated
hot,hot|ht,curated
humidification,humid|humidification|hum,curated
hvac,hvac,curated
inlet,inlet|in|inl,curated
intake,intake|in,curated
isolation,isolation|iso,curated
leak,leak|det,curated
leaving,leaving|leav|lvg|lv|sup,curated
level,level|lvl,curated
limit,limit|lim|lmt,curated
line,line|ln,curated
liquid,liquid|liq,curated
load,load|ld,curated
local,local|loc|lcl,curated
matter,matter,curated
max,max|mx,curated
min,min|mn,curated
minimum,minimum|min,curated
mixing,mixing|mix|mxg,curated
modulation,mod|modulation,curated
no,no,curated
override,override|ovr|ovrd|or,curated
particulate,particulate|pm,curated
perimeter,perimeter|perim|per,curated
phase,phase|ph,curated
pneumatic,pneumatic|pneu,curated
power,power|pwr|kw,curated
pre,pre,curated
primary,pri|primary|prim,curated
production,production|prod,curated
radiation,radiation|rad,curated
rate,rate,curated
real,real,curated
reclaim,reclaim|rec|rcl,curated
recovery,recovery|rec|recov,curated
reset,reset|rst,curated
reversing,reversing|rev,curated
saturation,saturation|sat,curated
secondary,sec|secondary,curated
slab,slab,curated
solar,solar,curated
speed,speed|spd,curated
stage,stage|stg,curated
standby,standby|stby|sb,curated
stop,stop|shutdown|stp,curated
suction,suction|suct|sct,curated
sump,sump|smp,curated
switch,switch|sw,curated
temp,temp|t|tmp,curated
thermostat,thermostat|tstat|stat,curated
to,to,curated
tower,tower|twr|ct,curated
trace,trace,curated
unit,unit|u|un,curated
ventilation,ventilation|vent,curated
voltage,voltage|volt|v,curated
volume,volume|vol,curated
water,water|wtr|w,curated
alarm,alarm|alm|alrm,mined
apparent,kvah|app|apparent,mined
boiler,blr|boiler|boil|boilr,mined
building,bldg|building|b|blg|bld,mined
bypass,bypass|byp|bp,mined
chiller,ch|chiller|chlr|chl|chillr,mined
cold,cold|cd,mined
command,cmd|command|c|cmnd,mined
compressor,comp|cmp|compressor,mined
condenser,cond|cw|condenser|cnd|c|cd,mined
cooling,clg|cooling|cool|chw|cl|c,mined
damper,damper|dmpr|dmp|dmper|dampr|dpr|d|dm,mined
dc,dc,mined
deadband,db|deadband|deadb,mined
dehumidifier,dehumidifier|dehum|dehumid|dhum|deh|dehmd|dehumd|dehumifier|demidifier|dehumifer,mined
demand,demand|dmd|req,mined
dewpoint,dpt|dewpoint|dp|dew|dwpt|dpnt|dewpt,mined
discharge,sa|supply|da|discharge|disch|dis|dch|d|dsch,mined
drive,vfd|drive|drv,mined
economizer,econ|economizer|econo|eco,mined
enable,enable|en|enbl|ena|eb|enab|enb,mined
energy,energy|engy|er|en|enrgy|enrg,mined
enthalpy,enthalpy|enth|ent|enp,mined
exhaust,exhaust|exh|ex|ea|exhst|exht,mined
factor,factor|k|fct,mined
fan,fan|f,mined
fault,fault|flt,mined
flow,flow|flw|flo,mined
heating,htg|heating|heat|hw|ht|h,mined
high,hi|high|h,mined
humidifier,humidifier|humid,mined
humidity,humidity|hum|rh|h|humid|humd|hi|hm,mined
light,light|lux|lght,mined
low,lo|low|l,mined
lpg,lpg,mined
maximum,max|maximum,mined
mixed,ma|mixed|mix|mxd|mixd|m,mined
mode,mode|md|mod,mined
morning,morn,mined
n2,n2|nitrogen,mined
no2,no2,mined
noise,noise|sound,mined
o2,o2|oxygen,mined
occupied,occupied|occ|occup|ocp,mined
offset,offset,mined
outside,oa|outside|out|o|od,mined
pressure,press|pressure|p|prs|pres|pr|presr,mined
protection,pro|prot|protection|protect|frz,mined
pump,pump|pmp|p,mined
purge,purge|flush,mined
re,re,mined
reactive,kvarh|reactive|reac,mined
request,req|request|rqst,mined
return,return|ret|ra|rtn|r|rt|rr|rtrn,mined
runtime,runtime|rt|run|rtm|rntime,mined
setpoint,sp|setpoint|spt|setpt|set|s|stpt|setp,mined
smoke,smoke|smk,mined
so2,so2,mined
status,status|sts|stat|st|s,mined
steam,stm|steam,mined
temperature,temp|t|temperature|tmp,mined
unoccupied,unocc|unoc|unoccupied,mined
up,up,mined
valve,valve|vlv|valv,mined
voc,voc,mined
warm,warm,mined
warning,warning|warn|prealarm|wrn|alert,mined
wheel,wheel|whl|w|wh,mined
zone,zn|zone|space|rm|zne|z,mined
