site,text,label,token,side,family,position,majority_convention_position,verdict,rows,decision
N4-Integ01,cbz cwr temp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ01,cbz cwr temp,twrEnteringTemp,cwr,return,twr,entering,leaving,minority,4,
N4-Integ01,cbz cws temp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ01,cbz cws temp sp,condEnteringTempSp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ01,chl cwr tmp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ01,chl cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ01,ut chws cwr tmp,twrEnteringTemp,cwr,return,twr,entering,leaving,minority,2,
N4-Integ01,ut chws cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,2,
N4-Integ02,chb cws t,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ02,ct cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ02,cw cwr tmp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ02,cw cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ02,cw sup pres,condEnteringPressure,cw sup,supply,cond,entering,leaving,minority,1,
N4-Integ02,cwr t,condLeavingTemp,cwr,return,cond,leaving,entering,minority,3,
N4-Integ02,cwr t,twrEnteringTemp,cwr,return,twr,entering,leaving,minority,1,
N4-Integ02,cwr tmp,twrEnteringTemp,cwr,return,twr,entering,leaving,minority,2,
N4-Integ02,cwr tmp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ02,cwr v,condLeavingIsoValve,cwr,return,cond,leaving,entering,minority,2,
N4-Integ02,cws sp,twrLeavingTempSp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ02,cws t,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ02,cws temp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,3,
N4-Integ02,cws temp sp,condEnteringTempSp,cws,supply,cond,entering,leaving,minority,3,
N4-Integ02,cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,3,
N4-Integ02,cws tmp,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,3,
N4-Integ02,cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ02,cws tmp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ02,cws tmp sp,twrLeavingTempSp,cws,supply,twr,leaving,entering,minority,3,
N4-Integ02,cws tmp sp,condEnteringTempSp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ02,hx cwr temp,condLeavingTemp,cwr,return,cond,leaving,entering,minority,1,
N4-Integ02,hx cws temp,condEnteringTemp,cws,supply,cond,entering,leaving,minority,1,
N4-Integ03,ai cwr,twrEnteringTemp,cwr,return,twr,entering,leaving,minority,1,
N4-Integ03,ai cws,twrLeavingTemp,cws,supply,twr,leaving,entering,minority,1,
N4-Integ03,cdwr r1 wt,twrEnteringTemp,cdwr,return,twr,entering,leaving,minority,1,
N4-Integ03,chl cdws stpt,twrLeavingTempSp,cdws,supply,twr,leaving,entering,minority,1,
N4-Integ03,ct cwr iso vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ03,ct cwr iso vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ03,ct cwr iso vlv cmd,twrEnteringIsoValve,cwr,return,twr,entering,leaving,minority,1,
N4-Integ03,ct cwr iso vlv pos,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,1,
N4-Integ03,ct cwr iso vlv pos,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,1,
N4-Integ03,ct cwr iso vlv pos,twrEnteringIsoValveFb,cwr,return,twr,entering,leaving,minority,1,
