text,target
zn t,zoneTemp
zone temperature,zoneTemp
room temperature,zoneTemp
rm tmp,zoneTemp
room temp,zoneTemp
space temperature,zoneTemp
zn temp,zoneTemp
zn temp,zoneTemp
zone temp,zoneTemp
zone temp,zoneTemp
zone temp,zoneTemp
zone temperature,zoneTemp
zn temperature,zoneTemp
zn temperature,zoneTemp
space temp,zoneTemp
space temp,zoneTemp
space temperature,zoneTemp
spc tmp,zoneTemp
spc temp,zoneTemp
spc temperature,zoneTemp
spacetmp,zoneTemp
spc t,zoneTemp
spc temp,zoneTemp
space temp sensor,zoneTemp
space temp,zoneTemp
space sensor temp,zoneTemp
room temp,zoneTemp
room t,zoneTemp
roomtmp,zoneTemp
room tmp,zoneTemp
room temp,zoneTemp
room temperature,zoneTemp
room temperature,zoneTemp
roomtemp sensor,zoneTemp
room temp snsr,zoneTemp
rm temp,zoneTemp
rm t,zoneTemp
rm temp sensor,zoneTemp
rm temperature,zoneTemp
rm tmp,zoneTemp
rmt t,zoneTemp
rmt temp,zoneTemp
rmt temp,zoneTemp
rmt tmp,zoneTemp
rtemp,zoneTemp
rtemp sensor,zoneTemp
roomtemp rdr,zoneTemp
zn sensor temp,zoneTemp
zn temp sensor,zoneTemp
zn t sensor,zoneTemp
zone t snsr,zoneTemp
zoneairtemp,zoneTemp
zone air temp,zoneTemp
zne tmp,zoneTemp
zntmp,zoneTemp
zone t,zoneTemp
zn meas temp,zoneTemp
zntempreading,zoneTemp
zone room temp,zoneTemp
z room t,zoneTemp
zone sensor t,zoneTemp
zone env temp,zoneTemp
zntemperature snsr,zoneTemp
zntemperature rdr,zoneTemp
zn air temp,zoneTemp
zn temp reading,zoneTemp
zn temp input,zoneTemp
zone temp input,zoneTemp
zone air temperature,zoneTemp
zone temp value,zoneTemp
spc tmp sensor,zoneTemp
spc temp rdr,zoneTemp
zn temp rdr,zoneTemp
space env temp,zoneTemp
roomtemp input,zoneTemp
spctemp val,zoneTemp
rtemp value,zoneTemp
rtemp read,zoneTemp
zntemp meas,zoneTemp
ra h,returnHumidity
ra hum,returnHumidity
ra humidity,returnHumidity
return h,returnHumidity
return hum,returnHumidity
return humidity,returnHumidity
return air humidity,returnHumidity
ret air hum,returnHumidity
ret humidity,returnHumidity
ra hum rh,returnHumidity
ra rh,returnHumidity
ret rh,returnHumidity
ra hum pct,returnHumidity
return hum rh,returnHumidity
returnairrh,returnHumidity
ra humidity sensor,returnHumidity
ra hum sensor,returnHumidity
return hum sensor,returnHumidity
ret air humidity,returnHumidity
return air rh,returnHumidity
ret humidity lvl,returnHumidity
ret air rh,returnHumidity
return humidity pct,returnHumidity
return rh signal,returnHumidity
ra hum lvl,returnHumidity
return rh level,returnHumidity
return hum percent,returnHumidity
ret hum signal,returnHumidity
return air humidity pct,returnHumidity
return humidity reading,returnHumidity
return air humidity rh,returnHumidity
return hum pct,returnHumidity
return humidity level,returnHumidity
ra rh sensor,returnHumidity
ra hum rh signal,returnHumidity
return air hum,returnHumidity
rahum,returnHumidity
ra humid,returnHumidity
return hum snsr,returnHumidity
ret rh lvl,returnHumidity
ret hum rh,returnHumidity
return hum mea,returnHumidity
ra hm,returnHumidity
return rh value,returnHumidity
return humd,returnHumidity
ra humidity input,returnHumidity
return rh reading,returnHumidity
ra humidity signal,returnHumidity
ra rel hum,returnHumidity
ra hum rh,returnHumidity
return rh percent,returnHumidity
return air humidity sensor,returnHumidity
return air rel humidity,returnHumidity
ret air humidity pct,returnHumidity
return rh sensor,returnHumidity
ra hum feedback,returnHumidity
return rh data,returnHumidity
rah,returnHumidity
ret hum sig,returnHumidity
ret air hum level,returnHumidity
rtn stpt,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp setpoint,returnTempSp
return temp setpoint,returnTempSp
return temp setpoint,returnTempSp
return temp setpoint,returnTempSp
return temp setpoint,returnTempSp
return air temp sp,returnTempSp
return air temp sp,returnTempSp
return air temp sp,returnTempSp
return air temp sp,returnTempSp
return air temp sp,returnTempSp
return air temp setpoint,returnTempSp
return air temp setpoint,returnTempSp
return air temp setpoint,returnTempSp
return air temp setpoint,returnTempSp
return air temp setpoint,returnTempSp
rtn temp sp,returnTempSp
rtn temp sp,returnTempSp
ret temp spt,returnTempSp
ret temp spt,returnTempSp
ra temp sp,returnTempSp
ra temp sp,returnTempSp
return temp target,returnTempSp
return temp target,returnTempSp
return temp target,returnTempSp
return temp target,returnTempSp
return temp target,returnTempSp
rtnsp,returnTempSp
rasp,returnTempSp
ra temp sp,returnTempSp
ra t sp,returnTempSp
ratspt,returnTempSp
ret t setpt,returnTempSp
rtn t sp,returnTempSp
rtn t sp,returnTempSp
rtn t spt,returnTempSp
ret air tmp sp,returnTempSp
rtn air temp sp,returnTempSp
rtn setpt,returnTempSp
ret sp,returnTempSp
ra sp,returnTempSp
rtn tset,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp setpoint,returnTempSp
return temp setpoint,returnTempSp
return air temp sp,returnTempSp
return air temp sp,returnTempSp
return air temp setpoint,returnTempSp
return air temp setpoint,returnTempSp
rtn temp sp,returnTempSp
rtn temp sp,returnTempSp
rtn stpt,returnTempSp
rtn stpt,returnTempSp
ret t spt,returnTempSp
ret t spt,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp sp,returnTempSp
return temp setpoint,returnTempSp
return temp setpoint,returnTempSp
return air temp sp,returnTempSp
return air temp sp,returnTempSp
