text,old_resolution,new_resolution,changed,n_labels,rows_at_stake,old_score,new_score,n_sites_old,n_sites_new,synth_gen_old,synth_gen_new,per_site_rows,val_gold,test_gold,decision
heat cool,heatingEnable,hvacMode,True,2,1847,1343.0,20.0,1,2,0/0,0/0,"{'heatingEnable': {'N4-Integ02': 1343}, 'hvacMode': {'N4-Integ02': 113, 'N4-Integ03': 391}}",,,
rhc vlv cmd,heatingValve,reHeatingValve,True,2,1612,1207.0,31.019,3,4,0/0,0/0,"{'reHeatingValve': {'N4-Integ01': 13, 'N4-Integ02': 239, 'N4-Integ03': 62, 'N4-Integ04': 91}, 'heatingValve': {'N4-Integ02': 495, 'N4-Integ03': 707, 'N4-Integ04': 5}}",heatingValve,N4-Integ06:reHeatingValve,
nci max flow,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,True,2,1561,1316.0,15.292,1,2,0/0,0/0,"{'dischargeFlowCoolMaxSp': {'N4-Integ01': 217, 'N4-Integ03': 28}, 'dischargeFlowMaxSp': {'N4-Integ01': 1316}}",dischargeFlowCoolMaxSp,,
htg spt,zoneHeatSp,DROPPED (tie),True,3,1499,1028.0,,1,,0/0,,"{'heatingEnableSp': {}, 'zoneHeatSp': {'N4-Integ02': 1028}, 'occupiedHeatSp': {'N4-Integ03': 471}}",,,
clg spt,zoneCoolSp,DROPPED (tie),True,2,1499,1028.0,,1,,0/0,,"{'zoneCoolSp': {'N4-Integ02': 1028}, 'occupiedCoolSp': {'N4-Integ03': 471}}",,,
return temp,zoneTemp,returnTemp,True,4,1115,1008.0,23.354,1,2,0/0,10/0,"{'returnTemp': {'N4-Integ02': 28, 'N4-Integ03': 65}, 'evapEnteringTemp': {'N4-Integ01': 2}, 'secEnteringTemp': {'N4-Integ02': 12}, 'zoneTemp': {'N4-Integ03': 1008}}",,,
zn t sp clg,zoneCoolSp,occupiedCoolSp,True,2,679,429.0,19.487,1,2,0/0,0/0,"{'occupiedCoolSp': {'N4-Integ01': 90, 'N4-Integ02': 160}, 'zoneCoolSp': {'N4-Integ04': 429}}",,,
zn t sp htg,zoneHeatSp,occupiedHeatSp,True,2,679,429.0,19.487,1,2,0/0,0/0,"{'occupiedHeatSp': {'N4-Integ01': 90, 'N4-Integ02': 160}, 'zoneHeatSp': {'N4-Integ04': 429}}",,,
rhc v,reHeatingValve,DROPPED (tie),True,2,668,414.0,,1,,0/0,,"{'heatingValve': {'N4-Integ03': 254}, 'reHeatingValve': {'N4-Integ04': 414}}",,,
d,dischargeDamper,damper,True,3,591,414.0,14.243,1,2,0/0,0/0,"{'damper': {'N4-Integ01': 18, 'N4-Integ02': 158}, 'outsideDamper': {'N4-Integ01': 1}, 'dischargeDamper': {'N4-Integ04': 414}}",,,
da f ll htg,dischargeFlowHeatMinSp,DROPPED (tie),True,2,558,400.0,,1,,0/0,,"{'dischargeFlowHeatSp': {'N4-Integ02': 158}, 'dischargeFlowHeatMinSp': {'N4-Integ04': 400}}",,,
vlv cmd,dischargeDamper,DROPPED (tie),True,5,384,198.0,,1,,0/0,,"{'mixingValve': {'N4-Integ03': 2}, 'waterValve': {'N4-Integ03': 12}, 'coolingValve': {'N4-Integ04': 9}, 'dischargeDamper': {'N4-Integ04': 198}, 'heatingValve': {'N4-Integ04': 163}}",,,
da f hl,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,True,3,251,160.0,11.456,1,2,0/0,0/0,"{'dischargeFlowCoolMaxSp': {'N4-Integ01': 85, 'N4-Integ04': 5}, 'dischargeFlowMaxSp': {'N4-Integ02': 160}, 'dischargeFlowHeatMaxSp': {'N4-Integ04': 1}}",,,
da f ll,dischargeFlowMinSp,dischargeFlowCoolMinSp,True,2,251,160.0,11.669,1,2,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ01': 85, 'N4-Integ04': 6}, 'dischargeFlowMinSp': {'N4-Integ02': 160}}",,,
bldg st prs,buildingPressureSp,buildingPressure,True,2,132,88.0,11.665,1,4,0/0,0/0,"{'buildingPressure': {'N4-Integ01': 1, 'N4-Integ02': 18, 'N4-Integ03': 22, 'N4-Integ04': 3}, 'buildingPressureSp': {'N4-Integ02': 88}}",buildingPressure,,
max inlet air flw sp,dischargeFlowMinSp,dischargeFlowMaxSp,True,2,130,69.0,9.719,1,2,0/0,0/0,"{'dischargeFlowMaxSp': {'N4-Integ01': 5, 'N4-Integ04': 56}, 'dischargeFlowMinSp': {'N4-Integ04': 69}}",,,
hw vlv pos,heatingValveFb,heatingValve,True,3,87,51.0,7.159,1,2,0/0,0/0,"{'heatingValve': {'N4-Integ01': 2, 'N4-Integ04': 33}, 'heatingValveFb': {'N4-Integ02': 51}, 'mixingValve': {'N4-Integ03': 1}}",heatingValve,,
oa dpr pos,outsideDamperSp,outsideDamper,True,3,59,32.0,5.899,1,2,0/0,0/0,"{'outsideDamper': {'N4-Integ01': 24, 'N4-Integ02': 1}, 'outsideDamperSp': {'N4-Integ02': 32}, 'outsideDamperFb': {'N4-Integ03': 2}}",outsideDamper,,
sys ena,occupancyMode,systemEnable,True,5,50,25.0,5.792,1,3,0/0,0/0,"{'chiller': {'N4-Integ02': 1}, 'heatingEnable': {'N4-Integ02': 2}, 'systemEnable': {'N4-Integ02': 7, 'N4-Integ03': 3, 'N4-Integ04': 2}, 'occupancyMode': {'N4-Integ03': 25}, 'unitEnable': {'N4-Integ04': 10}}",systemEnable,,
hwr tmp,priEnteringTemp,secEnteringTemp,True,3,37,18.0,7.692,1,4,0/0,0/0,"{'secEnteringTemp': {'N4-Integ01': 1, 'N4-Integ02': 6, 'N4-Integ03': 8, 'N4-Integ04': 2}, 'enteringTemp': {'N4-Integ02': 2}, 'priEnteringTemp': {'N4-Integ02': 18}}",secEnteringTemp,,
min oa dmp cmd,outsideDamperMin,minOutsideDamper,True,2,34,20.0,7.296,1,3,0/0,1/0,"{'minOutsideDamper': {'N4-Integ01': 5, 'N4-Integ03': 7, 'N4-Integ04': 2}, 'outsideDamperMin': {'N4-Integ04': 20}}",,,
bypass damper,faceBypassDamper,bypassDamper,True,2,23,23.0,14.0,1,0,0/0,14/0,"{'bypassDamper': {}, 'faceBypassDamper': {'N4-Integ02': 23}}",,,
oaf cmd,dischargeFan,outsideFan,True,3,23,9.0,4.0,1,2,0/0,0/0,"{'minOutsideFan': {'N4-Integ03': 6}, 'outsideFan': {'N4-Integ03': 4, 'N4-Integ04': 4}, 'dischargeFan': {'N4-Integ04': 9}}",,N4-Integ06:outsideFan,
min oa dmp pos sp,DROPPED (tie),minOutsideFaceDamper,True,2,16,,2.828,,1,,0/0,"{'minOutsideDamper': {'N4-Integ03': 8}, 'minOutsideFaceDamper': {'N4-Integ03': 8}}",,,
oaf sts,dischargeFanStatus,outsideFanStatus,True,3,16,9.0,3.146,1,2,0/0,0/0,"{'minOutsideFan': {'N4-Integ03': 2}, 'outsideFanStatus': {'N4-Integ03': 3, 'N4-Integ04': 2}, 'dischargeFanStatus': {'N4-Integ04': 9}}",,N4-Integ06:outsideFanStatus,
chlr ena,DROPPED (tie),chiller,True,3,11,,3.732,,3,,0/0,"{'chiller': {'N4-Integ01': 1, 'N4-Integ02': 1, 'N4-Integ03': 3}, 'systemEnable': {'N4-Integ01': 1}, 'chillerEnable': {'N4-Integ02': 5}}",chillerEnable,,
ct iso vlv cmd,twrEnteringIsoValve,twrIsoValve,True,2,9,5.0,2.828,1,2,0/0,0/0,"{'twrIsoValve': {'N4-Integ01': 2, 'N4-Integ03': 2}, 'twrEnteringIsoValve': {'N4-Integ02': 5}}",twrEnteringIsoValve,,
chlr cmd,chiller,chillerEnable,True,2,8,7.0,5.0,3,1,0/0,4/0,"{'chillerEnable': {'N4-Integ02': 1}, 'chiller': {'N4-Integ01': 2, 'N4-Integ02': 4, 'N4-Integ03': 1}}",chiller,,
rec pmp cmd,DROPPED (tie),circPump,True,2,8,,2.732,,2,,0/0,"{'circPump': {'N4-Integ03': 3, 'N4-Integ04': 1}, 'heatingCoilPump': {'N4-Integ03': 4}}",,,
oa flow min sp,outsideFlowMinSp,minOutsideFlowSp,True,2,7,7.0,3.0,1,0,0/0,3/0,"{'minOutsideFlowSp': {}, 'outsideFlowMinSp': {'N4-Integ04': 7}}",,,
clg dmd,coolingDemand,zoneCoolingDemand,True,2,7,7.0,5.0,1,0,0/0,5/0,"{'zoneCoolingDemand': {}, 'coolingDemand': {'N4-Integ02': 7}}",,,
chw f,evapLeavingFlow,secLeavingFlow,True,3,7,4.0,2.0,1,2,0/0,0/0,"{'secLeavingFlow': {'N4-Integ02': 1, 'N4-Integ04': 1}, 'evapLeavingFlow': {'N4-Integ02': 4}, 'secEnteringFlow': {'N4-Integ04': 1}}",,,
chws sp,evapLeavingTempSp,secLeavingTempSp,True,2,7,4.0,2.414,1,2,0/0,0/0,"{'evapLeavingTempSp': {'N4-Integ02': 4}, 'secLeavingTempSp': {'N4-Integ02': 1, 'N4-Integ04': 2}}",,,
chwp chw pmp cmd,DROPPED (tie),secPump,True,2,6,,2.414,,2,,0/0,"{'evapPump': {'N4-Integ01': 1, 'N4-Integ04': 2}, 'secPump': {'N4-Integ02': 2, 'N4-Integ04': 1}}",,,
chw flow,DROPPED (tie),secLeavingFlow,True,3,5,,1.414,,1,,0/0,"{'secLeavingFlow': {'N4-Integ03': 2}, 'evapLeavingFlow': {'N4-Integ03': 1}, 'evapFlowStatus': {'N4-Integ04': 2}}",,N4-Integ06:secLeavingFlow,
ch ena,chiller,chillerEnable,True,2,4,4.0,3.0,1,0,0/0,3/0,"{'chillerEnable': {}, 'chiller': {'N4-Integ01': 4}}",chillerEnable,,
air temp sp,DROPPED (tie),returnTempSp,True,2,4,,1.414,,1,,0/0,"{'dischargeTempSp': {'N4-Integ02': 2}, 'returnTempSp': {'N4-Integ02': 2}}",,,
ret t,secEnteringTemp,returnTemp,True,2,3,3.0,2.0,1,0,0/0,2/0,"{'returnTemp': {}, 'secEnteringTemp': {'N4-Integ01': 3}}",,,
boiler start,DROPPED (tie),boilerEnable,True,2,3,,3.0,,0,,3/0,"{'boilerEnable': {}, 'boiler': {'N4-Integ03': 3}}",,,
min oa flow,outsideFlowMinSp,minOutsideFlow,True,2,3,3.0,2.0,1,0,0/0,2/0,"{'minOutsideFlow': {}, 'outsideFlowMinSp': {'N4-Integ02': 3}}",,,
blr hws iso ena,DROPPED (tie),priLeavingIsoValve,True,3,3,,1.0,,1,,0/0,"{'priLeavingIsoValve': {'N4-Integ02': 1}, 'priLeavingTemp': {'N4-Integ02': 1}, 'priLeavingIsoValveFb': {'N4-Integ02': 1}}",,,
blr iso fbk,DROPPED (tie),priLeavingIsoValveFb,True,3,3,,1.0,,1,,0/0,"{'priLeavingIsoValveFb': {'N4-Integ02': 1}, 'boiler': {'N4-Integ02': 1}, 'priEnteringTemp': {'N4-Integ02': 1}}",,,
drive status,DROPPED (tie),returnFanStatus,True,3,3,,1.0,,1,,0/0,"{'dischargeFanStatus': {'N4-Integ02': 1}, 'priPumpCommand': {'N4-Integ02': 1}, 'returnFanStatus': {'N4-Integ02': 1}}",,,
condenser,DROPPED (tie),cond,True,2,2,,2.0,,0,,2/0,"{'cond': {}, 'condFanSpeed': {'N4-Integ04': 2}}",,,
chw v,DROPPED (tie),coolingValve,True,2,2,,2.0,,0,,2/0,"{'coolingValve': {}, 'secEnteringIsoValve': {'N4-Integ02': 2}}",,,
chwp ss,DROPPED (tie),evapPumpEnable,True,2,2,,2.0,,0,,2/0,"{'evapPumpEnable': {}, 'secPump': {'N4-Integ01': 2}}",,,
chw p1 cmd,DROPPED (tie),secPump,True,2,2,,1.0,,1,,0/0,"{'CLR': {'N4-Integ01': 1}, 'secPump': {'N4-Integ04': 1}}",,,
chw p2 cmd,DROPPED (tie),secPump,True,2,2,,1.0,,1,,0/0,"{'evapPump': {'N4-Integ01': 1}, 'secPump': {'N4-Integ04': 1}}",,,
chw sp,DROPPED (tie),priLeavingTempSp,True,2,2,,1.0,,1,,0/0,"{'evapLeavingTempSp': {'N4-Integ01': 1}, 'priLeavingTempSp': {'N4-Integ02': 1}}",evapLeavingTempSp,,
evap pump status bv,DROPPED (tie),evapPumpStatus,True,2,2,,1.0,,1,,0/0,"{'evapPump': {'N4-Integ01': 1}, 'evapPumpStatus': {'N4-Integ01': 1}}",,,
hx chwr temp,DROPPED (tie),secEnteringTemp,True,2,2,,1.0,,1,,0/0,"{'secEnteringTemp': {'N4-Integ01': 1}, 'evapEnteringTemp': {'N4-Integ02': 1}}",,,
hx chws temp,DROPPED (tie),secLeavingTemp,True,2,2,,1.0,,1,,0/0,"{'secLeavingTemp': {'N4-Integ01': 1}, 'evapLeavingTemp': {'N4-Integ02': 1}}",,,
