text,context,context_label,name_only_label,rows
return temp,eq general | unit degf | kind analog,zoneTemp,returnTemp,1017
vlv pos,eq t us acb acb | unit percent | kind analog,waterValveFb,heatingValveFb,608
vlv comd,eq t us acb acb | unit percent | kind analog,waterValve,heatingValve,608
rhc vlv cmd,unit percent | kind analog,heatingValve,reHeatingValve,436
heat cool,eq t us acb acb | unit heat | kind binary,heatingEnable,hvacMode,374
rhc vlv cmd,eq floor | unit percent | kind analog,heatingValve,reHeatingValve,316
heat cool,eq t us acb acb | unit cool | kind binary,heatingEnable,hvacMode,234
uoc clg sp,eq l2 vav | unit degf | kind analog,dischargeFlowUnoccCoolSp,unoccupiedCoolSp,178
vlv comd,eq level vav | unit percent | kind analog,reHeatingValve,heatingValve,178
clg flow min,eq t us vav | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,178
clg flow max,eq t us vav | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,178
vlv pos,eq level vav | unit percent | kind analog,reHeatingValveFb,heatingValveFb,178
da f ll,eq vav fl vav | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,160
da f hl,eq vav fl vav | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,160
uoc clg sp,eq l1 vav | unit degf | kind analog,dischargeFlowUnoccCoolSp,unoccupiedCoolSp,156
out,eq ecp x gfx ahu zn dampers | kind analog,dischargeDamper,zoneTemp,151
zn t sp htg,eq th flr vav | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,151
zn t sp clg,eq th flr vav | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,151
heat cool,eq t us vav | unit heat | kind binary,heatingEnable,hvacMode,151
d,eq th flr vav | unit percent | kind analog,dischargeDamper,damper,151
vlv pos,eq level fpv | unit percent | kind analog,reHeatingValveFb,heatingValveFb,144
vlv comd,eq level fpv | unit percent | kind analog,reHeatingValve,heatingValve,144
damper pos,eq ahu ddva vs | unit percent | kind analog,coldDeckDamper,dischargeDamper,128
clg o,eq dole ftu | unit percent | kind analog,coolingDemand,coolingValve,126
inlet dmp cmd,eq fpb | unit percent | kind analog,intakeDamper,dischargeDamper,119
rhc vlv cmd,eq fp vav | unit percent | kind analog,heatingValve,reHeatingValve,103
htg flow max,eq ahu vav dd | unit cfm | kind analog,hotDeckDischargeFlowSp,dischargeFlowHeatMaxSp,101
out,eq fp vav multiply | unit percent | kind analog,dischargeDamperFb,zoneTemp,97
inlet dmp pos,eq vav | unit percent | kind analog,dischargeDamperFb,dischargeDamper,85
current damper position,eq data | unit percent | kind analog,dischargeDamper,damperFb,77
heat cool,eq ahu vav dd | unit cool | kind binary,heatingEnable,hvacMode,73
out,eq vav eff htg sp | unit degf | kind analog,zoneHeatSp,zoneTemp,71
out,eq vav sa tmp sp | unit degf | kind analog,dischargeTempSp,zoneTemp,71
