text,context,targets,resolution
zn t,,"zoneTemp (40.5394; rows 2821, sites 4) | zoneTempAvg (4; rows 16, sites 1) | returnTemp (2.44949; rows 6, sites 1)",zoneTemp
rm tmp,,"zoneTemp (42; rows 7172, sites 4) | returnTemp (1; rows 1, sites 1)",zoneTemp
zn tmp,,"zoneTemp (41; rows 1875, sites 4) | heatingValve (1; rows 1, sites 1)",zoneTemp
ra rel hum,,"returnHumidity (25.5021; rows 164, sites 4) | outsideHumidity (1; rows 1, sites 1)",returnHumidity
return temp,,"returnTemp (23.3538; rows 93, sites 2) | zoneTemp (10; rows 1008, sites 1) | secEnteringTemp (3.4641; rows 12, sites 1) | evapEnteringTemp (1.41421; rows 2, sites 1)",returnTemp
ret t,,"returnTemp (2; rows 0, sites 0) | secEnteringTemp (1.73205; rows 3, sites 1)",returnTemp
bldg p,,"buildingPressure (10.831; rows 35, sites 2) | zonePressure (1; rows 1, sites 1)",buildingPressure
bypass valve,,"bypassValve (18; rows 0, sites 0) | evapBypassValve (1; rows 1, sites 1)",bypassValve
byp vlv,,"bypassValve (9.73205; rows 7, sites 2) | priLeavingIsoValve (1; rows 1, sites 1)",bypassValve
zone temp max sp,,"zoneTempMaxSp (8; rows 0, sites 0) | zoneTempHiSp (1; rows 0, sites 0)",zoneTempMaxSp (override)
zntm spt,,"zoneTempMaxSp (1; rows 0, sites 0) | zoneTempMinSp (1; rows 0, sites 0)",DROPPED (override)
zntm sp,,"zoneTempMaxSp (1; rows 0, sites 0) | zoneTempMinSp (1; rows 0, sites 0)",DROPPED (override)
chilleralarm,,"chillerAlarm (1; rows 0, sites 0) | chillerFault (1; rows 0, sites 0)",chillerAlarm (override)
chiller alarm,,"chillerAlarm (6; rows 0, sites 0) | chillerFault (2; rows 0, sites 0)",chillerAlarm (override)
ch alarm,,"chillerAlarm (13; rows 0, sites 0) | chillerFault (3; rows 0, sites 0)",chillerAlarm (override)
blr cmd,,"boilerEnable (6.41421; rows 2, sites 1) | boiler (5.27792; rows 10, sites 3) | heatingCoilPump (2; rows 0, sites 0) | systemEnable (1.41421; rows 2, sites 1)",boilerEnable (override)
blr ena,,"boilerEnable (8.96812; rows 8, sites 2) | boiler (1; rows 1, sites 1) | priEnteringTemp (1; rows 1, sites 1) | priLeavingIsoValve (1; rows 1, sites 1) | systemEnable (1; rows 1, sites 1)",boilerEnable
boiler start,,"boilerEnable (3; rows 0, sites 0) | boiler (1.73205; rows 3, sites 1)",boilerEnable
boiler stat,,"systemActive (1.41421; rows 2, sites 1) | boilerStatus (1; rows 0, sites 0)",systemActive
bypass damper,,"bypassDamper (14; rows 0, sites 0) | faceBypassDamper (4.79583; rows 23, sites 1)",bypassDamper
bypass dmpr pos,,"bypassDamperFb (2; rows 0, sites 0) | bypassDamper (1; rows 0, sites 0)",bypassDamperFb (override)
byp dmp cmd,,"bypassDamper (4.82843; rows 8, sites 1) | bypassDamperFb (1; rows 1, sites 1)",bypassDamper
bypass damper pos,,"bypassDamper (3; rows 0, sites 0) | bypassDamperFb (3; rows 0, sites 0)",DROPPED (override)
byp dmpr pos,,"bypassDamper (3; rows 0, sites 0) | bypassDamperFb (2; rows 0, sites 0)",bypassDamperFb (override)
chiller cmd,,"chillerEnable (5; rows 0, sites 0) | systemEnable (1; rows 1, sites 1)",chillerEnable
ch cmd,,"chillerEnable (6; rows 0, sites 0) | chiller (3; rows 5, sites 2)",chillerEnable
chlr cmd,,"chillerEnable (5; rows 1, sites 1) | chiller (4.41421; rows 7, sites 3)",chillerEnable
chiller enable,,"chillerEnable (16.2361; rows 6, sites 2) | chiller (5.96812; rows 10, sites 4)",chillerEnable
ch en,,"chillerEnable (6.73205; rows 3, sites 1) | chiller (1.73205; rows 3, sites 1)",chillerEnable
ch ena,,"chillerEnable (3; rows 0, sites 0) | chiller (2; rows 4, sites 1)",chillerEnable
chiller enable spt,,"systemEnableSp (1; rows 1, sites 1) | chillerEnableSp (1; rows 0, sites 0)",systemEnableSp
comp,,"comp (4; rows 0, sites 0) | coolingStage (1; rows 1, sites 1)",comp
comp start,,"compEnable (2; rows 0, sites 0) | comp (2; rows 0, sites 0)",compEnable (override)
cmp start,,"comp (2; rows 0, sites 0) | compEnable (2; rows 0, sites 0)",compEnable (override)
compressor start,,"compEnable (2; rows 0, sites 0) | comp (2; rows 0, sites 0)",compEnable (override)
