label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
priPumpStatus,secPumpStatus,site_variant,both,"confusion,cross_site",78,6,0.714,0.667,False,True,draft_equivalences.py,draft,,
priEnteringTemp,secEnteringTemp,site_variant,both,"confusion,cross_site",69,7,0.667,0.667,True,True,draft_equivalences.py,draft,,
priLeavingTemp,secLeavingTemp,site_variant,both,"confusion,cross_site",61,6,0.667,0.667,True,True,draft_equivalences.py,draft,,
evapEnteringTemp,secEnteringTemp,site_variant,both,"confusion,cross_site,probe",58,6,0.667,0.667,True,True,draft_equivalences.py,draft,,
evapLeavingTemp,secLeavingTemp,site_variant,both,"confusion,cross_site,probe",52,7,0.667,0.667,True,True,draft_equivalences.py,draft,,
systemEnable,twrEnable,confusable,both,confusion,71,0,0.333,0.4,False,True,draft_equivalences.py,draft,,
priPump,secPump,site_variant,both,"confusion,cross_site",55,5,0.667,0.667,False,True,draft_equivalences.py,draft,,
evapLeavingFlow,secLeavingFlow,site_variant,both,"confusion,cross_site",47,3,0.667,0.667,True,True,draft_equivalences.py,draft,,
priPumpSpeed,secPumpSpeed,site_variant,both,"confusion,cross_site",41,5,0.667,0.667,True,True,draft_equivalences.py,draft,,
occupiedCoolSp,zoneCoolSp,confusable,both,"confusion,cross_site",27,9,0.75,0.571,True,True,draft_equivalences.py,draft,,
evapPumpStatus,secPumpStatus,site_variant,both,"confusion,cross_site",29,8,0.571,0.667,False,True,draft_equivalences.py,draft,,
coolingValve,coolingValveFb,parent,a_to_b,"confusion,cross_site,probe",21,10,0.6,0.667,True,True,draft_equivalences.py,draft,,
chiller,chillerEnable,parent,a_to_b,"confusion,cross_site,display_sim",34,5,0.4,0.8,False,True,draft_equivalences.py,draft,,
condPumpSpeed,secPumpSpeed,confusable,both,"confusion,cross_site",40,3,0.667,0.667,True,True,draft_equivalences.py,draft,,
condLeavingTempSp,twrLeavingTempSp,site_variant,both,"confusion,cross_site",40,2,0.857,0.75,True,True,draft_equivalences.py,draft,,
occupiedHeatSp,zoneHeatSp,confusable,both,"confusion,cross_site",19,9,0.75,0.571,True,True,draft_equivalences.py,draft,,
twrEnable,twrFan,confusable,both,confusion,44,0,0.25,0.4,False,True,draft_equivalences.py,draft,,
condPumpStatus,secPumpStatus,confusable,both,"confusion,cross_site",28,5,0.571,0.667,False,True,draft_equivalences.py,draft,,
condEnteringTemp,condLeavingTemp,confusable,both,"confusion,cross_site,probe",20,7,0.667,0.667,True,True,draft_equivalences.py,draft,,
