site,name,equip_path,device_name,object_type,units,value_kind,description,label_raw,label,rows
Motorola_Points,AI 00,,ahu,ai,,analog,CWS temp,condEnteringTemp,condEnteringTemp,2
Motorola_Points,AI 00,,ahu s3,ai,,analog,RAT,returnTemp,returnTemp,1
Motorola_Points,AI 00,,ahu s4,ai,,analog,RAT,returnTemp,returnTemp,1
Motorola_Points,AI 00,,annex basement,ai,,analog,,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,annex basement,ai,,analog,Room temp,zoneTemp,zoneTemp,11
Motorola_Points,AI 00,,annex ll data aire ups,ai,,analog,Space Temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,annex st fl data aire,ai,,analog,Space Temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,annex st floor,ai,,analog,,zoneTemp,zoneTemp,10
Motorola_Points,AI 00,,annex st floor,ai,,analog,Room temp,zoneTemp,zoneTemp,6
Motorola_Points,AI 00,,cav,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,chiller,ai,,analog,,condEnteringTemp,condEnteringTemp,1
Motorola_Points,AI 00,,chiller,ai,,analog,CWS temp,condEnteringTemp,condEnteringTemp,1
Motorola_Points,AI 00,,conference,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,conference room,ai,,analog,,zoneTemp,zoneTemp,5
Motorola_Points,AI 00,,conference room,ai,,analog,Room temp,zoneTemp,zoneTemp,9
Motorola_Points,AI 00,,corridor,ai,,analog,,zoneTemp,zoneTemp,7
Motorola_Points,AI 00,,corridor,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,e med conference,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,e med confrence,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,east vestibule,ai,,analog,,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,elevator lobby,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,enclave,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,evidence,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,evp,ai,,analog,,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,evp,ai,,analog,Room temp,zoneTemp,zoneTemp,9
Motorola_Points,AI 00,,executive conference room,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,file rm,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,foc,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,focus,ai,,analog,,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,focus room,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,focus room,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,hub,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,hw system p p,ai,,analog,,secEnteringTemp,secEnteringTemp,1
Motorola_Points,AI 00,,hx system,ai,,analog,,priEnteringTemp,priEnteringTemp,1
Motorola_Points,AI 00,,idf equipment room,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,labratory,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,laura s stat,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,lobby meeting rm,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,men s bathroom,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,mgr mgr,ai,,analog,Room temp,zoneTemp,zoneTemp,4
Motorola_Points,AI 00,,n open office,ai,,analog,,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,n open office,ai,,analog,Room temp,zoneTemp,zoneTemp,6
Motorola_Points,AI 00,,n open office ne pantry,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,n open office ne pantry,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,ne focus,ai,,analog,Room temp,zoneTemp,zoneTemp,3
Motorola_Points,AI 00,,ne open office,ai,,analog,,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,ne open office,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,ne sm conference,ai,,analog,Room temp,zoneTemp,zoneTemp,1
Motorola_Points,AI 00,,ne sm confrence,ai,,analog,Room temp,zoneTemp,zoneTemp,2
Motorola_Points,AI 00,,noc soc foc,ai,,analog,Room temp,zoneTemp,zoneTemp,4
