text,target,source
ah d temp,ahuDischargeTemp,eo66-dn-v1
ah da temperature,ahuDischargeTemp,eo66-dn-v1
ah da tmp,ahuDischargeTemp,eo66-dn-v1
ah dch t,ahuDischargeTemp,eo66-dn-v1
ah dch temp,ahuDischargeTemp,eo66-dn-v1
ah dch temperature,ahuDischargeTemp,eo66-dn-v1
ah disch t,ahuDischargeTemp,eo66-dn-v1
ah disch temp,ahuDischargeTemp,eo66-dn-v1
ah disch temperature,ahuDischargeTemp,eo66-dn-v1
ah disch tmp,ahuDischargeTemp,eo66-dn-v1
ah discharge temperature,ahuDischargeTemp,eo66-dn-v1
ah discharge tmp,ahuDischargeTemp,eo66-dn-v1
ah dsch t,ahuDischargeTemp,eo66-dn-v1
ah sa t,ahuDischargeTemp,eo66-dn-v1
ah sa temperature,ahuDischargeTemp,eo66-dn-v1
ah supply t,ahuDischargeTemp,eo66-dn-v1
ah supply tmp,ahuDischargeTemp,eo66-dn-v1
ahu d t,ahuDischargeTemp,eo66-dn-v1
ahu d temp,ahuDischargeTemp,eo66-dn-v1
ahu d temperature,ahuDischargeTemp,eo66-dn-v1
ahu da t,ahuDischargeTemp,eo66-dn-v1
ahu da temp,ahuDischargeTemp,eo66-dn-v1
ahu da temperature,ahuDischargeTemp,eo66-dn-v1
ahu da tmp,ahuDischargeTemp,eo66-dn-v1
ahu dch temperature,ahuDischargeTemp,eo66-dn-v1
ahu dch tmp,ahuDischargeTemp,eo66-dn-v1
ahu dis tmp,ahuDischargeTemp,eo66-dn-v1
ahu disch temp,ahuDischargeTemp,eo66-dn-v1
ahu disch temperature,ahuDischargeTemp,eo66-dn-v1
ahu disch tmp,ahuDischargeTemp,eo66-dn-v1
ahu discharge t,ahuDischargeTemp,eo66-dn-v1
ahu discharge temperature,ahuDischargeTemp,eo66-dn-v1
ahu dsch temp,ahuDischargeTemp,eo66-dn-v1
ahu dsch temperature,ahuDischargeTemp,eo66-dn-v1
ahu dsch tmp,ahuDischargeTemp,eo66-dn-v1
ahu sa t,ahuDischargeTemp,eo66-dn-v1
ahu sa temp,ahuDischargeTemp,eo66-dn-v1
ahu sa temperature,ahuDischargeTemp,eo66-dn-v1
ahu supply t,ahuDischargeTemp,eo66-dn-v1
ahu supply tmp,ahuDischargeTemp,eo66-dn-v1
blr act en production,boilerLoad,eo66-dn-v1
blr act energy production,boilerLoad,eo66-dn-v1
blr act enrg production,boilerLoad,eo66-dn-v1
blr act enrgy prod,boilerLoad,eo66-dn-v1
blr act enrgy production,boilerLoad,eo66-dn-v1
blr actual energy production,boilerLoad,eo66-dn-v1
blr actual er prod,boilerLoad,eo66-dn-v1
boil act en prod,boilerLoad,eo66-dn-v1
boil act energy production,boilerLoad,eo66-dn-v1
boil act engy prod,boilerLoad,eo66-dn-v1
boil act er prod,boilerLoad,eo66-dn-v1
boil act er production,boilerLoad,eo66-dn-v1
boil actual en prod,boilerLoad,eo66-dn-v1
boil actual energy prod,boilerLoad,eo66-dn-v1
boil actual engy prod,boilerLoad,eo66-dn-v1
boil actual engy production,boilerLoad,eo66-dn-v1
boil actual enrg production,boilerLoad,eo66-dn-v1
boiler act energy production,boilerLoad,eo66-dn-v1
boiler act engy production,boilerLoad,eo66-dn-v1
boiler act enrg prod,boilerLoad,eo66-dn-v1
boiler act enrg production,boilerLoad,eo66-dn-v1
boiler act enrgy prod,boilerLoad,eo66-dn-v1
boiler act enrgy production,boilerLoad,eo66-dn-v1
boiler act er production,boilerLoad,eo66-dn-v1
boiler actual energy production,boilerLoad,eo66-dn-v1
boiler actual engy prod,boilerLoad,eo66-dn-v1
boiler actual engy production,boilerLoad,eo66-dn-v1
boiler actual enrg production,boilerLoad,eo66-dn-v1
boiler actual er production,boilerLoad,eo66-dn-v1
boilr act engy prod,boilerLoad,eo66-dn-v1
boilr act enrg production,boilerLoad,eo66-dn-v1
boilr act enrgy prod,boilerLoad,eo66-dn-v1
boilr act enrgy production,boilerLoad,eo66-dn-v1
boilr act er production,boilerLoad,eo66-dn-v1
boilr actual en prod,boilerLoad,eo66-dn-v1
boilr actual en production,boilerLoad,eo66-dn-v1
boilr actual energy prod,boilerLoad,eo66-dn-v1
boilr actual engy prod,boilerLoad,eo66-dn-v1
boilr actual engy production,boilerLoad,eo66-dn-v1
boilr actual enrg prod,boilerLoad,eo66-dn-v1
blr stage,boilerStage,eo66-dn-v1
blr stg,boilerStage,eo66-dn-v1
boil stage,boilerStage,eo66-dn-v1
boil stg,boilerStage,eo66-dn-v1
boiler stage,boilerStage,eo66-dn-v1
boiler stg,boilerStage,eo66-dn-v1
boilr stage,boilerStage,eo66-dn-v1
boilr stg,boilerStage,eo66-dn-v1
boost p c,boosterPump,eo66-dn-v1
boost p cmd,boosterPump,eo66-dn-v1
boost p cmnd,boosterPump,eo66-dn-v1
