text,target
ZN_RH_MIN_LIMIT,zoneHumidityMinSp
ZONETEMP_SPT,zoneTempSp
Boiler1PumpStatus,heatingCoilPumpStatus
cd_dis_static,coldDeckDischargePressure
zn_htg_db_limit,zoneTempHeatDb
STEAMHDRPRESS,steamPressure
PhaseC_Current_Max,currentPhaseCMax
ACTUAL_FLOW,dischargeFlow
vfd_out_speed_saf,dischargeFanSpeed
EXHAUSTDAMPERCMD,exhaustDamper
occupied-cool-sp-local,occupiedCoolSpLocal
Space-T-SP-Local,zoneTempSpLocal
modeSelectionHVAC,hvacMode
CompCtrl,comp
whl_oa_fan_spd_val,wheelOutsideFanSpeed
dehumalm,dehumidifierAlarm
SPC-O2-CONC,zoneO2
PM2.5_CONCENTRATION_ROOM,zonePM25
SAF_ENERGY_METER,dischargeFanEnergy
z_p,zonePressure
condBypValveFb,condBypassValveFb
RETURN-H,returnHumidity
GAS_LINE_FLOW_LO_ALM,gasFlowLoAlarm
zbHumMaxSPT,zoneHumidityMaxSp
dehumid_enable_setpoint,dehumidEnableSp
dehum-status,dehumidifierStatus
MinFlowUnoccSP,dischargeFlowUnoccCoolSp
ZNLightMinSetpointStatus,zoneLightLevelMinSp
RETURN_AIR_TEMP_SP,returnTempSp
ZONE_VOC,zoneVOC
WheelRetEnth,wheelReturnEnthalpy
DISCH_FAN_RMS_A,dischargeFanCurrent
SPC-O2-LOW-ALM,zoneO2Alarm
heating-pos,heatingStatus
zone.temp.local.sp,zoneTempSpLocal
SA_TEMP_LO_ALM,dischargeTempLoAlarm
EXFANSTATUS,exhaustFanStatus
RA-DMP,returnDamper
EXFAN_ALARM_STATE,exhaustFanAlarm
cur_phase_b_max,currentPhaseBMax
zn-temp-avg,zoneTempAvg
DISCH-ISOLATION-DMPR,dischargeIsoDamper
STBY-CLG-FLO-SP,dischargeFlowStandbyCoolSp
EXHAUST_STATUS,exhaustFanStatus
DehumidifierAlarm,dehumidifierAlarm
BLR_CMD,boilerEnable
HTG_SP_SBY_MODE,standbyHeatSp
coldDeckOutputPressure,coldDeckDischargePressure
OA-REQ-MINFLOW-SP,minOutsideFlowSp
a-press,airPressure
DA_HUM_SENSOR,dischargeHumidity
SPC-O3-CONC,zoneO3
OccupiedCoolingSetpointOffset,occupiedCoolSpOffset
CHILLER-ALM,chillerAlarm
heat_enable_setpt,heatingEnableSp
coolingEn,coolingEnable
RM_O2_ALARM_STATE,zoneO2Alarm
cooling_en_setpt,coolingEnableSp
zn-voc-db-sp,zoneVOCDb
humidEnable,humidifierEnable
DISCH_DPT_ALARM_HI,dischargeDewpointHiAlarm
SA_DEHUM_SETPOINT,dischargeTempDehumidSp
freeze_pro_enable,freezeProtectEnable
cool_enable_setpoint,coolingEnableSp
zoneVOCMaxSp,zoneVOCMaxSp
BLR1SUPTEMP,heatingCoilLeavingTemp
RH-RM-MIN-SP-SNS,zoneHumidityMinSp
coldDeck_dm_fb,coldDeckDamperFb
ACOUSTIC_LEVEL_ZONE,zoneNoiseLevel
WHEEL_RETURN_FAN_STATUS,wheelReturnFanStatus
RA-FAN-RUN-FAIL,returnFanAlarm
colddeck_dmpr_signal,coldDeckDamperFb
comp-err,compFault
W-RETURN-HUM,wheelReturnHumidity
CD-DISCH-FLOW,coldDeckDischargeFlow
fan_motor_voltage_sa,dischargeFanVoltage
occupiedClgSetpoint,occupiedCoolSp
RMT-PRESS-HI-SP,zonePressureHiSp
SA_FAN_OUTPUT,dischargeFanSpeed
dehumidifier-demand,dehumidDemand
S-FAN-MOTOR-TEMP,dischargeFanMotorTemp
OA-FLOW-MIN-SP,minOutsideFlowSp
coldDeck_dis_flo,coldDeckDischargeFlow
RM-PRESS-LOW-ALM,zonePressureLoAlarm
DC_CURRENT_MEAS,currentDC
BYPASS_TEMP_EVAP,evapBypassTemp
CLG_UNOCC_SP_MIN_FLOW,dischargeFlowUnoccCoolSp
coolingEnable,coolingEnable
supply_fan_speed_sp,dischargeFanSpeedSp
emergencyStopSignal,emergencyStop
STBYZONECLGSP,standbyCoolSp
LPG-ZN-ALM,zoneLPGAlarm
DISCHARGE_TEMP_HIGH_SP,dischargeTempHiSp
SpaceLightLevel,zoneLightLevel
dehumid_setpoint_discharge,dischargeDehumidSp
saf_control,dischargeFanEnable
EXFAN_RUNNING_STATUS,exhaustFanStatus
MAX_DISCHARGE_TEMP_SPT,dischargeTempMaxSp
WhlRTmp,wheelReturnTemp
RoomO2Sensor,zoneO2
ZONETMPMAXSPT,zoneTempMaxSP
RETURNAIRFAN_CMD,returnFanEnable
htg_cmd,heatingEnable
SUPPLY_TEMP_COOL_MAX,dischargeTempCoolMaxSp
humid-cmd-sp,humidifierEnableSp
cwpSpeedCommand,condPumpSpeed
KFAC,kFactor
WHL_RTN_FLOW,wheelReturnFlow
CHILLER-COMMAND,chillerEnable
SUPAIR_TEMP_BELOW_LIMIT,dischargeTempLoAlarm
space-voc-max-sp,zoneVOCMaxSp
dehumidifier-enable-sp,dehumidEnableSp
ACTIVE_POWER_ZN,zonePowerReal
zoneEnergy_kWh,zoneEnergy
oa_fan_whl_output,wheelOutsideFanSpeed
OutsideAirTempHiSp,outsideTempHiSp
CW_SENDING_FLOW,condWaterLeavingFlow
humidifier-enable-signal,humidifierEnable
PM10_ROOM_LEVEL,zonePM10
L1_CURRENT,current
RM_LO_TEMP_SPT,zoneTempLoSp
chw_temp_sup,evapLeavingTemp
e_stop_cmd,emergencyStop
RETURN-DAMPER-CONTROL,returnDamper
wheelReturnFanFlt,wheelReturnFanFault
cndBypVlvFeedback,condBypassValveFb
sa_low_static_sp,dischargePressureLoSp
HeatingLoopPump,heatingCoilPump
Occupied_Heat_Setpoint_Offset,occupiedHeatSpOffset
cond_bypass_temp_sensor,condBypassTemp
DISCHARGE_FAN_RUN_HOURS,dischargeFanRuntime
RET-AIR-HUMIDITY,returnHumidity
enable_humidifier,humidifierEnable
BLDG-P,buildingPressure
Room-PM4,zonePM4
condPumpSpeedOverride,condPumpSpeedOvr
CndBypassFlowSp,condBypassFlowSp
oa_min_damper_fb,minOutsideDamperFb
condBypValveCmd,condBypassValve
Room-Purge-Stat,zonePurgeStatus
Room-VOC-Alert,zoneVOCAlarm
ch2_enable_sp,chillerEnableSp
effectiveSetpointAdj,zoneTempSpOffset
zoneTempAvg,zoneTempAvg
CD_OUTFLOW,coldDeckDischargeFlow
condenserCtrl,cond
OutsideTempTrendAvg,outsideTempAvg
chillerStat,chillerStatus
cmp-forcestart,compOvr
SUPPLYAIR_HTG_STBY_SP,dischargeFlowStandbyHeatSp
ZN_O2_ALARM_STATE,zoneO2Alarm
APPARENT_ENERGY_MTR,energyApparent
Space-Local-SP,zoneTempSpLocal
OA-T-AVG,outsideTempAvg
wheel_rf_flt,wheelReturnFanFault
UNOCC_SUPPLY_HEAT_SP,dischargeFlowUnoccHeatSp
RA_FAN_RUNNING_STATUS,returnFanStatus
SPC_O2,zoneO2
SpacePM25Reading,zonePM25
ZN-HIGH-CO2-SPT,zoneCO2HiSp
occupiedCoolSp_Loc,occupiedCoolSpLocal
PM25-SPACE,zonePM25
Zone_FC,zoneLightLevel
FAULT_RESET_COMMAND_SAF,dischargeFanFaultReset
SA-HUMIDITY,dischargeHumidity
CONDENSATE_LEAK_ALARM,waterLeakAlarm
dis_air_cool_min_sp,dischargeTempCoolMinSp
VFD_ALARM_TAG,driveAlarm
comperr,compFault
LIGHT_ROOM_LUX_MAX_SP,zoneLightLevelMaxSp
SPC_RH_HI_ALARM,zoneHumidityHiAlarm
PURGE_STATUS_SPACE,zonePurgeStatus
compressor_warn,compWarning
dehum-setpt,dehumidSp
phaseA_current,currentPhaseA
Zone-VOC-Min-SP,zoneVOCMinSp
supply_air_static_lo_sp,dischargePressureLoSp
STM_CTRL_VLV,steamValve
OA-MIN-CFM,minOutsideFlow
OA-MOISTURE,outsideHumidity
Space_SO2_PPM,zoneSO2
ACTIVE_CLG_SP,zoneCoolSp
VOC-MIN-SPT,zoneVOCMinSp
EVAP_BYP_TEMP_SENSOR_LOC,evapBypassTemp
MIN-VENTILATION-FLOW,minOutsideFlow
occ_clg_pt_sp_local,occupiedCoolSpLocal
oa_whl_rt_tm,wheelOutsideFanRuntime
heat-cmd,heatingEnable
spaceFC,zoneLightLevel
RaCo2,returnCO2
OA-TEMP-MEAN,outsideTempAvg
CWP1_FAULT,condPumpFault
phaseCI,currentPhaseC
SpaceTempHighAlarm,zoneTempHiAlarm
LIGHT_SPC_MAX_SP_SENSOR,zoneLightLevelMaxSp
SUP_TEMP_MAX_EXCEEDED,dischargeTempHiAlarm
exhDamperStatus,exhaustDamperFb
DA_DEHUM_SETPOINT,dischargeDehumidSp
discharge_air_temp_dehumid_sp,dischargeTempDehumidSp
minOAFlowDamperOvr,minOutsideDamperOvr
ch2_fault,chillerFault
flowkfactor,kFactor
ZNPM1Sensor,zonePM1
ZNHUMIDITY,zoneHumidity
cmp-start,compEnable
ZN-N2-ALARM,zoneN2Alarm
condpump_speed_override,condPumpSpeedOvr
cwp1SpeedOverride,condPumpSpeedOvr
RA-CFM_SETPOINT,returnFlowSp
I_Phase_C,currentPhaseC
DISCHARGE_ISO_DAMPER,dischargeIsoDamper
vav_kfactor,kFactor
FILTER_SENSOR_ALARM,unitFilterAlarm
ECON-DPT-ENABLE-SP,econEnableDewpointSp
cw-pump-speed-setpoint,condPumpSpeedSp
CHW_V,coolingValve
sensor_kfactor,kFactor
DISCH_DAMPR_FB,dischargeDamperFb
RetT,returnTemp
ZoneNOMinSetpoint,zoneNOMinSp
RET-AIR-DAMPER,returnDamper
ZN_P_DEADBAND,zonePressureDb
Boiler-Alarm,boilerAlarm
SA_DMP_OVR,dischargeDamperOvr
lo_threshold_alm,lowLimitAlarm
SPACE-PRESS-LO-SP,zonePressureLoSp
ZoneO3Concentration,zoneO3
FUELGAS_PRESS_ALARM_LOW,gasPressureLoAlarm
SpaceLightSetpointLimit,zoneLightLevelSp
DewPt,zoneDewpoint
econ_operation_mode,econMode
comp-prealert,compWarning
returntempsp,returnTempSp
B_P,buildingPressure
supplyFanCurrent,dischargeFanCurrent
SUPPLYAIR_HTG_UNOCC_SP,dischargeFlowUnoccHeatSp
cd_dis_air_pr,coldDeckDischargePressure
WHL_OA_T,wheelOutsideTemp
condbypassvalvefb,condBypassValveFb
SUPAIRFANBYPASS,dischargeFanBypass
MINOA-FLOW-SP,minOutsideFlow
heat-valve-status,heatingValveFb
whl_Stat,wheelStatus
ch1-status,chillerStatus
SpacePressureLowAlarm,zonePressureLoAlarm
DHUM-STS,dehumidifierStatus
RETURNFLOW_TGT,returnFlowSp
SUP-DAMPER-CMD,dischargeDamper
