test,name,normalized,predicted,confidence,gold,acceptables,verdict,why,seen_in_train,train_labels,note
T1,RTN_AIR_TEMP,rtn air temp,returnTemp,0.8744,returnTemp,,correct,matches pre-registered gold/acceptable,True,returnTemp,[respelled from RA_TEMP]
T1,DSCH_AIR_TMP,dsch air tmp,dischargeTemp,0.7609,dischargeTemp,,correct,matches pre-registered gold/acceptable,False,,[respelled from DA-T]
T1,SPACE_TMP,space tmp,zoneTemp,0.8151,zoneTemp,,correct,matches pre-registered gold/acceptable,False,,[respelled from ZN-T]
T1,ZN_TMP_STPT,zn tmp stpt,zoneTempSp,0.8494,zoneTempSp,,correct,matches pre-registered gold/acceptable,False,,[respelled from ZNT-SP]
T1,SF_STAT,sf stat,dischargeFanStatus,0.8386,dischargeFanStatus,,correct,matches pre-registered gold/acceptable,False,,[respelled from SF_STS]
T1,SF_VFD_SPD,sf vfd spd,dischargeFanSpeed,0.8174,dischargeFanSpeed,dischargeFanSpeedSp,correct,matches pre-registered gold/acceptable,False,,
T1,RTN_FAN_CMD,rtn fan cmd,returnFan,0.7957,returnFan,,correct,matches pre-registered gold/acceptable,False,,[respelled from RF_CMD]
T1,EF-1_SS,ef ss,exhaustFan,0.9098,exhaustFan,exhaustFanEnable,correct,matches pre-registered gold/acceptable,True,exhaustFan,SS=start/stop cmd
T1,OAD_POS,oad pos,outsideDamperFb,0.8166,outsideDamperFb,outsideDamper|damperFb,correct,matches pre-registered gold/acceptable,True,outsideDamperFb,[respelled from OA_DMPR_POS]
T1,MIX_AIR_TMP,mix air tmp,mixedTemp,0.8482,mixedTemp,,correct,matches pre-registered gold/acceptable,False,,[respelled from MA-T]
T1,CO2_RM_4,co2 rm,zoneCO2,0.8929,zoneCO2,,correct,matches pre-registered gold/acceptable,True,zoneCO2,
T1,RM_RH,rm rh,zoneHumidity,0.9202,zoneHumidity,,correct,matches pre-registered gold/acceptable,True,zoneHumidity,
T1,OA-H,oa h,outsideHumidity,0.8942,outsideHumidity,,correct,matches pre-registered gold/acceptable,True,outsideHumidity,
