text,rows,predicted,confidence,example_name
inlet air vol,3024,dischargeFlow,0.9625490307807922,InletAirVol
inlet dmp cmd,3013,dischargeDamper,0.9883244037628174,InletDmpCmd
inlet air vol sp,3013,minOutsideFlowSp,0.6103940606117249,InletAirVolSp
uoc clg sp,2946,dischargeTempCoolSp,0.9446079730987549,UocClgSp
eff occ,2858,occupancyMode,0.9985958933830261,EffOcc
occ clg max flw sp,2858,dischargeFlowCoolMaxSp,0.9978165626525879,OccClgMaxFlwSp
uoc htg sp,1502,unoccupiedHeatSp,0.9729220867156982,UocHtgSp
rhc vlv cmd,1408,reHeatingValveFb,0.9876064658164978,RHCVlvCmd
occ zone db sp,1126,zoneTempDb,0.9917389154434204,Occ_Zone_DB_SP
occ zone sp,1126,zoneTempSpLocal,0.8741658329963684,Occ_Zone_SP
dat,1126,dischargeTemp,0.9448555707931519,DAT
hw valve cmd,1002,heatingCoilPump,0.8141311407089233,HW_Valve_Cmd
fan speed cmd,956,dischargeFanSpeed,0.9984808564186096,Fan_Speed_Cmd
rm rel hum,449,returnHumidity,0.6338895559310913,RmRelHum
hc vlv cmd,175,condPump,0.9593541622161865,HC112VlvCmd
user sp adj,156,zoneTempSpOffset,0.9974129796028137,UserSpAdj
terminal load,155,current,0.6360886096954346,TerminalLoad
htg vol sp hl,154,dischargeFlowHeatMaxSp,0.9956018924713135,HtgVolSpHL
enrg total,153,energyApparent,0.6678959131240845,EnrgTotal
rel pwr total,152,zonePowerReal,0.8508920669555664,RelPwrTotal
cc vlv cmd,130,condBypassValve,0.5027207136154175,CCVlvCmd
oa dmp cmd,96,outsideDamper,0.990373969078064,OADmpCmd
hcp cmd,80,condPump,0.816034734249115,HCPCmd
hcp sts,80,boilerStatus,0.6864261031150818,HCPSts
eff sa tmp sp,77,dischargeTempSp,0.9888972640037537,EffSATmpSp
fan sts,58,dischargeFanStatus,0.5310717225074768,FanSts
rf cmd,56,returnFan,0.9959610104560852,RFCmd
air cond mode,55,condStatus,0.7112659215927124,AirCondMode
ea dmp cmd,50,dischargeDamper,0.8079162836074829,EADmpCmd
moa vol,45,minOutsideFlow,0.6455902457237244,MOAVol
ra st prs,40,returnDamper,0.9321073293685913,RAStPrs
oa vol,38,minOutsideFlow,0.7988239526748657,OAVol
ra st prs sp,31,returnTempSp,0.9760860204696655,RAStPrsSp
cond coil tmp,27,condLeavingTemp,0.9971272349357605,CondCoilTmp1
compr sts bin,27,condStatus,0.7187983989715576,ComprStsBin1
gpm sts,27,current,0.5320270657539368,GPMSts1
disc line pr,27,airPressure,0.9819530844688416,DiscLinePr1
suct line pr,27,evapEnteringTemp,0.48588138818740845,SuctLinePr1
rfa sts,26,bypassFanStatus,0.7352235317230225,RFASts
rfb sts,26,returnFanStatus,0.978408932685852,RFBSts
ra enthalpy,25,wheelReturnEnthalpy,0.5275045037269592,RA$20Enthalpy
uoc heat sp,22,unoccupiedHeatSp,0.9102909564971924,UocHeatSp
htg vlv pos,22,heatingValveFb,0.976466953754425,HtgVlvPos
dmp pos,19,dischargeDamperFb,0.9971407651901245,DmpPos
flw sp,19,returnFlowSp,0.736432671546936,FlwSp
min occ air flw,19,zoneLightLevelMinSp,0.950613796710968,MinOccAirFlw
hw vlv,19,heatingCoilPump,0.8868285417556763,HWVlv
sched,19,cond,0.2704794406890869,Sched
hw req,18,heatingCoilEnteringTemp,0.5058034658432007,HWReq
chw req,18,coolingValve,0.9762536883354187,CHWReq
hum ena,18,dischargeHumidity,0.9921901822090149,HumEna
inlet dmp pos,17,dischargeDamperFb,0.8823285102844238,InletDmpPos
inlet vol sp,17,minOutsideFlowSp,0.8788660168647766,InletVolSp
uocc clg tmp sp,17,dischargeTempCoolSp,0.5835601091384888,UoccClgTmpSp
rem rm tmp sp,15,returnTempSp,0.9519953727722168,RemRmTmpSp
fan,14,dischargeFan,0.9987726807594299,Fan
rm tmp sp ll,13,zoneTempMinSp,0.9649035334587097,RmTmpSpLL
ef cmd,13,exhaustFanEnable,0.9794036746025085,EF03_Cmd
rm tmp sp hl,13,zoneTempMaxSp,0.9694119095802307,RmTmpSpHL
sys hwr tmp,11,heatingCoilEnteringTemp,0.988749623298645,Sys11HWRTmp
sys hw diff prs,11,heatingCoilEnteringTemp,0.728474497795105,Sys11HWDiffPrs
zn rel hum,11,returnHumidity,0.9024946093559265,ZnRelHum
ph tmp,11,currentDC,0.2944873571395874,PHTmp
oa rst l,11,outsideTempFault,0.6723756194114685,OARstL
hw rst h,11,heatingCoilEnteringTemp,0.9534355401992798,HWRstH
sys diff prs sp,11,zoneTempSpOffset,0.5107362866401672,Sys11DiffPrsSp
oa dmp pos,11,outsideDamper,0.8079785704612732,OADmpPos
hw rst l,11,heatingCoilEnteringTemp,0.9970300197601318,HWRstL
hwp cmd,11,condPump,0.6284145712852478,HWP5Cmd
oa rst h,11,heatingEnable,0.2545699179172516,OARstH
hum vlv cmd,11,dischargeHumidity,0.636445939540863,HumVlvCmd
blr lw tmp,10,heatingCoilLeavingTemp,0.9939717650413513,BlrLWTmp
sys enable,10,coolingStatus,0.5382184386253357,Sys11Enable
vav avg dmp cmd,10,outsideTempAvg,0.9816099405288696,VavAvgDmpCmd
blr ew tmp,10,heatingCoilEnteringTemp,0.9949026107788086,BlrEWTmp
hw sw tmp sp,10,heatingCoilLeavingTemp,0.9661334156990051,HWSwTmpSp
vav avg zn tmp,10,zoneTempAvg,0.9171571135520935,VavAvgZnTmp
pb sts,9,bypassFanStatus,0.9958498477935791,PBSts
pa spd cmd,9,condPumpSpeed,0.5882556438446045,PASpdCmd
hum sp,9,zoneHumiditySp,0.9754106998443604,HumSp
pb cmd,9,buildingPressure,0.5225975513458252,PBCmd
pa sts,9,bypassFanStatus,0.56178218126297,PASts
pa cmd,9,returnDamper,0.6607264280319214,PACmd
pb spd cmd,9,condPumpSpeed,0.9949154853820801,PBSpdCmd
